user_id,name,age,profile_type,monthly_income,city,risk_tolerance,savings_rate,credit_score,account_age_months,preferred_payment_mode,marital_status
prod_user_0001,Laura Cox,19,student,11639,Pune,high,0.08673377807052143,635,92,UPI,Single
prod_user_0002,Liam Chaudry,68,retiree,29165,Jodhpur,low,0.12810857195847775,709,83,UPI,Divorced
prod_user_0003,Abdul Hopkins-Oliver,45,family_oriented,159974,Mumbai,low,0.2347627138851561,721,103,Card,Divorced
prod_user_0004,Tejas Kaul,35,entrepreneur,366369,Ludhiana,medium,0.16459412863227665,845,19,UPI,Married
prod_user_0005,James Moore,27,young_professional,141082,Varanasi,high,0.28111780941006737,661,74,UPI,Married
prod_user_0006,Bruce Kaur,30,young_professional,68427,Chennai,high,0.27320564357702865,830,11,Card,Married
prod_user_0007,Arunima Ahuja,25,young_professional,143571,Madurai,medium,0.21403786751174986,766,112,NetBanking,Single
prod_user_0008,Harini Mall,46,senior_professional,209842,Guwahati,medium,0.31054609403756545,824,15,Card,Divorced
prod_user_0009,Gayathri Chaudry,21,student,20708,Thane,high,0.10691831626364717,742,93,NetBanking,Single
prod_user_0010,Gunbir Parmer,25,freelancer,100043,Pimpri-Chinchwad,medium,0.3415137402313644,752,14,Card,Divorced
prod_user_0011,Renee Blair,23,student,23934,Surat,high,0.10934478515909965,717,39,Card,Single
prod_user_0012,Paige Ferguson,22,student,48311,Nashik,high,0.18467343254037155,702,34,Card,Divorced
prod_user_0013,Lisa Hensley,27,entrepreneur,867495,Madurai,medium,0.35833087289999976,689,26,Wallet,Divorced
prod_user_0014,Lindsey Rees,28,young_professional,80019,Mumbai,high,0.25873430352974114,791,93,UPI,Divorced
prod_user_0015,Donna Robinson,63,retiree,69587,Varanasi,low,0.18805003859422786,690,6,NetBanking,Divorced
prod_user_0016,Lajita Mall,29,freelancer,173085,Madurai,medium,0.3611555709510301,726,70,Card,Single
prod_user_0017,Holly Wood,40,senior_professional,382789,Delhi,low,0.27968337533806875,775,20,NetBanking,Married
prod_user_0018,Ekbal Garg,29,family_oriented,113143,Chennai,low,0.12569603562036363,774,103,Card,Single
prod_user_0019,Adrian Humphries-Lamb,25,student,46031,Indore,medium,0.08975849434100888,708,75,Card,Divorced
prod_user_0020,Ricky Lloyd-Duncan,47,senior_professional,452157,Vasai-Virar,medium,0.23143002517435124,782,21,Card,Single
prod_user_0021,Azad Mutti,27,young_professional,32757,Chennai,medium,0.27653203432310536,651,96,UPI,Single
prod_user_0022,Daniel Hahn,22,young_professional,142674,Pimpri-Chinchwad,high,0.12125720496659605,710,91,Wallet,Single
prod_user_0023,Ms Jill Morley,59,retiree,99847,Rajkot,low,0.17289917271871735,771,30,UPI,Single
prod_user_0024,Steven Pritchard,24,student,33219,Guwahati,high,0.11166534140746072,613,88,UPI,Single
prod_user_0025,Priya Rastogi,48,entrepreneur,430784,Raipur,medium,0.1745969001760857,698,63,Card,Married
prod_user_0026,Zachary Hicks,36,family_oriented,171275,Vasai-Virar,low,0.36234578622117397,669,109,UPI,Single
prod_user_0027,Imaran Dua,18,student,16112,Srinagar,medium,0.0749466665905871,724,33,Wallet,Single
prod_user_0028,Bethan Oliver,24,young_professional,79672,Varanasi,medium,0.3955926531339178,717,42,Wallet,Divorced
prod_user_0029,Lakshmi Sidhu,25,student,20144,Jabalpur,medium,0.09450617382418464,614,100,UPI,Divorced
prod_user_0030,Julia Taylor-Brown,36,senior_professional,126289,Lucknow,medium,0.2508551148758541,785,13,UPI,Single
prod_user_0031,Bethan Young,31,young_professional,38907,Bhopal,medium,0.22113266539548326,795,80,UPI,Divorced
prod_user_0032,Gina Carter,28,young_professional,116163,Chandigarh,high,0.3804118773209282,702,97,NetBanking,Single
prod_user_0033,Aarush Lall,47,senior_professional,168617,Chennai,medium,0.23716737177113564,842,7,Wallet,Divorced
prod_user_0034,Mr Howard Walker,58,retiree,34602,Agra,low,0.25176540821462967,683,118,UPI,Single
prod_user_0035,Frances Buckley-Ryan,44,senior_professional,182704,Vadodara,medium,0.35012348639194213,830,84,UPI,Divorced
prod_user_0036,Kimberly Osborne,33,freelancer,67154,Allahabad,medium,0.1793397764461383,677,25,NetBanking,Married
prod_user_0037,Abbie Duncan,61,retiree,69942,Jodhpur,low,0.30624913864039915,717,68,NetBanking,Single
prod_user_0038,Janani Mohanty,32,young_professional,85518,Jaipur,high,0.11322602853971502,735,87,NetBanking,Single
prod_user_0039,Wridesh Brar,25,student,46154,Chennai,high,0.13413602971621197,628,119,Card,Divorced
prod_user_0040,Ekapad Walia,27,young_professional,106350,Vadodara,medium,0.22893601386423154,660,52,UPI,Married
prod_user_0041,Vaishnavi Gandhi,35,family_oriented,224832,Rajkot,low,0.20610359038438553,793,85,Card,Single
prod_user_0042,Lisa Brandt,29,freelancer,86413,Ludhiana,high,0.10743590856945662,838,106,Wallet,Divorced
prod_user_0043,Mr Dean Matthews,31,freelancer,109941,Faridabad,medium,0.3362123527406414,677,117,UPI,Married
prod_user_0044,Christian Williams,34,family_oriented,264063,Thane,medium,0.20489752733377561,708,9,Card,Married
prod_user_0045,Darren Smith,43,senior_professional,136396,Meerut,medium,0.2053438387248257,780,92,NetBanking,Single
prod_user_0046,Ansh Karpe,26,young_professional,53405,Kalyan-Dombivali,high,0.11147715920597882,802,50,NetBanking,Married
prod_user_0047,Sarah Hammond,71,retiree,40157,Visakhapatnam,low,0.3698514198733599,698,11,Wallet,Single
prod_user_0048,Pauline Townsend,72,retiree,50825,Ludhiana,low,0.2293892198874961,820,85,NetBanking,Divorced
prod_user_0049,Ekavir Varkey,27,freelancer,118727,Meerut,high,0.30006787123171896,733,95,NetBanking,Divorced
prod_user_0050,Vedika Kala,34,family_oriented,160217,Vijayawada,medium,0.3031953835818199,694,78,NetBanking,Married
prod_user_0051,Jemma Allen,55,retiree,64829,Gwalior,low,0.1630548054647926,798,89,NetBanking,Married
prod_user_0052,Niharika Gupta,39,entrepreneur,783446,Lucknow,medium,0.25335219906237616,838,90,UPI,Married
prod_user_0053,Raagini Pandya,75,retiree,68933,Bhopal,low,0.3455270393609993,842,92,NetBanking,Single
prod_user_0054,Scott Brown,30,freelancer,78627,Vijayawada,medium,0.11386411542782754,771,114,UPI,Married
prod_user_0055,Adam Long,45,entrepreneur,678634,Dhanbad,medium,0.3155037746496966,748,57,Card,Single
prod_user_0056,Mrs Catherine Bates,18,student,16985,Varanasi,high,0.08282617052184793,732,12,Card,Single
prod_user_0057,Brian Oliver,27,freelancer,159658,Amritsar,medium,0.34042498051667935,820,77,NetBanking,Married
prod_user_0058,Shannon Jones,71,retiree,80933,Srinagar,low,0.3691624309699787,840,63,NetBanking,Single
prod_user_0059,Jessica Riley,32,freelancer,176655,Vasai-Virar,high,0.2880245310945344,720,15,NetBanking,Single
prod_user_0060,Mr Jordan Bennett,45,senior_professional,267619,Faridabad,low,0.14151221845484674,709,94,Card,Divorced
prod_user_0061,Niharika Sunder,30,family_oriented,158755,Rajkot,medium,0.19926441731142508,769,13,Card,Married
prod_user_0062,James Brown,49,entrepreneur,687451,Coimbatore,medium,0.3570196096911803,845,54,Wallet,Single
prod_user_0063,James House,44,senior_professional,495037,Raipur,medium,0.3560343851707314,757,101,Card,Married
prod_user_0064,Michael Cross,36,family_oriented,164251,Chandigarh,medium,0.10870744598401458,736,92,Wallet,Divorced
prod_user_0065,Norman Nash,42,family_oriented,291052,Delhi,low,0.39421659325567704,786,56,UPI,Single
prod_user_0066,Anthony Fitzgerald,24,student,18893,Faridabad,high,0.07725935397701483,666,47,Card,Married
prod_user_0067,Dakshesh Bedi,45,senior_professional,499103,Visakhapatnam,medium,0.1834769846916418,757,112,UPI,Married
prod_user_0068,Tony Bell,30,young_professional,36826,Guwahati,high,0.16726664971592448,667,11,UPI,Single
